"Tabela 8888 - Produção Física Industrial, por seções e atividades industriais"
"","Mês","Variável","Seções e atividades industriais (CNAE 2.0)",""
"Brasil","janeiro 2002","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","105.75245"
"Brasil","fevereiro 2002","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","99.65788"
"Brasil","março 2002","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","116.03333"
"Brasil","abril 2002","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","127.42721"
"Brasil","maio 2002","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","117.11845"
"Brasil","junho 2002","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","106.02189"
"Brasil","julho 2002","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","131.90073"
"Brasil","agosto 2002","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","110.55841"
"Brasil","setembro 2002","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","108.48935"
"Brasil","outubro 2002","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","122.23019"
"Brasil","novembro 2002","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","119.13779"
"Brasil","dezembro 2002","PIMPF - Número-índice (2022=100) (Número-índice)","3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","96.72907"
