REGIAO:;N
UF:;AP
ESTACAO:;PORTO GRANDE
CODIGO (WMO):;A244
LATITUDE:;,69416666
LONGITUDE:;-51,40388888
ALTITUDE:;84,8
DATA DE FUNDACAO:;17/09/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;1000,6;1000,7;1000;;25,9;;26,1;25,8;;;7;;;9;3,4;2,2;
2025/01/01;0100 UTC;0;1001,4;1001,4;1000,6;;25,8;;25,9;25,6;;;7;;;17;5,1;2,5;
2025/01/01;0200 UTC;0;1001,5;1001,7;1001,4;;25,3;;25,8;25,3;;;;;;11;4,8;2,9;
2025/01/01;0300 UTC;0;1001,8;1001,8;1001,5;;25,1;;25,3;25,1;;;7;;;10;6,1;2,5;
2025/01/01;0400 UTC;0;1001,4;1001,8;1001,4;;24,6;;25,1;24,6;;;7;;;344;5,1;1,7;
2025/01/01;0500 UTC;0;1000,5;1001,4;1000,5;;24,2;;24,6;24,2;;;7;;;334;3,7;1,7;
2025/01/01;0600 UTC;0;1000,1;1000,5;1000,1;;24;;24,2;24;;;7;;;333;3,1;1,5;
2025/01/01;0700 UTC;0;1000;1000,1;999,9;;23,8;;24;23,8;;;7;;;325;2,6;1,1;
2025/01/01;0800 UTC;0;1000;1000,1;999,9;;23,7;;23,9;23,7;;;7;;7;311;2,6;,7;
2025/01/01;0900 UTC;0;1000,1;1000,1;999,9;;23,6;;23,7;23,6;;;7;;;344;2;1;
